45180001101	王金刚	男	13	6	59	61	13	99
45180001102	图月月	女	4	4	4	4	4	4
45180001104	张金辉	男	38	38	59	8	6	59
45180001105	和洪洪	男	15	81	72	82	16	28
45180001106	王就和	男	75	79	26	58	80	16
45180001108	查三聪	男	20	42	46	6	87	2
45180001110	范风格	男	61	43	9	51	98	57
45180001111	韩耳朵	男	72	96	15	32	51	32
45180001112	裴电工	男	66	14	83	26	54	30
45180001113	陈和共	男	18	4	89	50	7	49
45180001114	王画图	男	41	3	75	88	15	80
45180001115	董号码	男	33	46	89	14	85	12
45180001116	杜铭记	男	46	58	7	85	21	4
45180001117	高从和	女	32	52	60	22	72	70
45180001118	陈经验	女	99	4	18	10	16	81
45180001119	张染发	女	32	24	39	94	78	77
45180001120	赵夫人	女	2	56	64	34	83	58
45180001121	王电工	女	4	20	81	84	78	96
45180001123	张从果	女	72	16	4	97	20	11
45180001124	刘的个	女	6	96	8	70	32	66
45180001125	崔共同	女	14	24	88	85	98	34
45180001126	冯个人	女	60	81	70	18	10	7
